;;FR Base FR Base;FR Base FR Base;FR Base FR Base;FR Base FR Base;;;;;;;;;;;;;;
Date;Nature relève;Consommation (kWh);Index;Consommation (kWh);Index;;;;;;;;;;;;;;
25-12-2024;evt réelle;13;6 063;;;;;;;;;;;;;;;;
26-12-2024;evt réelle;15;6 076;;;;;;;;;;;;;;;;
27-12-2024;estimée;19;6 091;;;;;;;;;;;;;;;;
28-12-2024;evt réelle;13;6 110;;;;;;;;;;;;;;;;
29-12-2024;evt réelle;14;6 123;;;;;;;;;;;;;;;;
30-12-2024;estimée;14;6 137;;;;;;;;;;;;;;;;
31-12-2024;evt réelle;13;6 151;;;;;;;;;;;;;;;;
01-01-2025;estimée;15;6 164;;;;;;;;;;;;;;;;
02-01-2025;evt réelle;13;6 179;;;;;;;;;;;;;;;;
03-01-2025;evt réelle;17;6 192;;;;;;;;;;;;;;;;
04-01-2025;evt réelle;15;6 209;;;;;;;;;;;;;;;;
05-01-2025;evt réelle;22;6 224;;;;;;;;;;;;;;;;
06-01-2025;estimée;14;6 246;;;;;;;;;;;;;;;;
07-01-2025;evt réelle;14;6 260;;;;;;;;;;;;;;;;
08-01-2025;evt réelle;15;6 274;;;;;;;;;;;;;;;;
09-01-2025;evt réelle;15;6 289;;;;;;;;;;;;;;;;
10-01-2025;evt réelle;14;6 304;;;;;;;;;;;;;;;;
11-01-2025;evt réelle;17;6 318;;;;;;;;;;;;;;;;
12-01-2025;estimée;16;6 335;;;;;;;;;;;;;;;;
13-01-2025;evt réelle;17;6 351;;;;;;;;;;;;;;;;
14-01-2025;estimée;15;6 368;;;;;;;;;;;;;;;;
15-01-2025;evt réelle;14;6 383;;;;;;;;;;;;;;;;
16-01-2025;evt réelle;12;6 397;;;;;;;;;;;;;;;;
17-01-2025;evt réelle;16;6 409;;;;;;;;;;;;;;;;
18-01-2025;estimée;17;6 425;;;;;;;;;;;;;;;;
19-01-2025;evt réelle;17;6 442;;;;;;;;;;;;;;;;
20-01-2025;evt réelle;18;6 459;;;;;;;;;;;;;;;;
21-01-2025;estimée;14;6 477;;;;;;;;;;;;;;;;
22-01-2025;evt réelle;16;6 491;;;;;;;;;;;;;;;;
23-01-2025;evt réelle;12;6 507;;;;;;;;;;;;;;;;
24-01-2025;evt réelle;12;6 519;;;;;;;;;;;;;;;;
25-01-2025;estimée;17;6 531;;;;;;;;;;;;;;;;
26-01-2025;evt réelle;12;6 548;;;;;;;;;;;;;;;;
27-01-2025;evt réelle;16;6 560;;;;;;;;;;;;;;;;
28-01-2025;evt réelle;16;6 576;;;;;;;;;;;;;;;;
29-01-2025;estimée;13;6 592;;;;;;;;;;;;;;;;
30-01-2025;evt réelle;15;6 605;;;;;;;;;;;;;;;;
31-01-2025;evt réelle;17;6 620;;;;;;;;;;;;;;;;
01-02-2025;evt réelle;13;6 637;;;;;;;;;;;;;;;;
02-02-2025;estimée;14;6 650;;;;;;;;;;;;;;;;
03-02-2025;evt réelle;16;6 664;;;;;;;;;;;;;;;;
04-02-2025;evt réelle;15;6 680;;;;;;;;;;;;;;;;
05-02-2025;estimée;18;6 695;;;;;;;;;;;;;;;;
06-02-2025;evt réelle;17;6 713;;;;;;;;;;;;;;;;
07-02-2025;evt réelle;16;6 730;;;;;;;;;;;;;;;;
08-02-2025;estimée;17;6 746;;;;;;;;;;;;;;;;
09-02-2025;evt réelle;15;6 763;;;;;;;;;;;;;;;;
10-02-2025;evt réelle;13;6 778;;;;;;;;;;;;;;;;
11-02-2025;estimée;10;6 791;;;;;;;;;;;;;;;;
12-02-2025;evt réelle;13;6 801;;;;;;;;;;;;;;;;
13-02-2025;estimée;11;6 814;;;;;;;;;;;;;;;;
14-02-2025;estimée;14;6 825;;;;;;;;;;;;;;;;
15-02-2025;evt réelle;13;6 839;;;;;;;;;;;;;;;;
16-02-2025;evt réelle;17;6 852;;;;;;;;;;;;;;;;
17-02-2025;evt réelle;15;6 869;;;;;;;;;;;;;;;;
18-02-2025;estimée;12;6 884;;;;;;;;;;;;;;;;
19-02-2025;evt réelle;17;6 896;;;;;;;;;;;;;;;;
20-02-2025;evt réelle;15;6 913;;;;;;;;;;;;;;;;
21-02-2025;estimée;12;6 928;;;;;;;;;;;;;;;;
22-02-2025;evt réelle;15;6 940;;;;;;;;;;;;;;;;
23-02-2025;evt réelle;18;6 955;;;;;;;;;;;;;;;;
24-02-2025;evt réelle;13;6 973;;;;;;;;;;;;;;;;
25-02-2025;evt réelle;12;6 986;;;;;;;;;;;;;;;;
26-02-2025;evt réelle;17;6 998;;;;;;;;;;;;;;;;
27-02-2025;evt réelle;15;7 015;;;;;;;;;;;;;;;;
28-02-2025;evt réelle;13;7 030;;;;;;;;;;;;;;;;
01-03-2025;evt réelle;13;7 043;;;;;;;;;;;;;;;;
02-03-2025;evt réelle;10;7 056;;;;;;;;;;;;;;;;
03-03-2025;estimée;11;7 066;;;;;;;;;;;;;;;;
04-03-2025;evt réelle;14;7 077;;;;;;;;;;;;;;;;
05-03-2025;evt réelle;14;7 091;;;;;;;;;;;;;;;;
06-03-2025;evt réelle;13;7 105;;;;;;;;;;;;;;;;
07-03-2025;evt réelle;10;7 118;;;;;;;;;;;;;;;;
08-03-2025;evt réelle;12;7 128;;;;;;;;;;;;;;;;
09-03-2025;estimée;16;7 140;;;;;;;;;;;;;;;;
10-03-2025;estimée;10;7 156;;;;;;;;;;;;;;;;
11-03-2025;evt réelle;12;7 166;;;;;;;;;;;;;;;;
12-03-2025;evt réelle;12;7 178;;;;;;;;;;;;;;;;
13-03-2025;estimée;11;7 190;;;;;;;;;;;;;;;;
14-03-2025;estimée;11;7 201;;;;;;;;;;;;;;;;
15-03-2025;evt réelle;;;13;7 212;;;;;;;;;;;;;;
16-03-2025;evt réelle;;;14;7 225;;;;;;;;;;;;;;
