;;FR Base FR Base;FR Base FR Base;FR Base FR Base;FR Base FR Base;;;;;;;;;;;;;;
Date;Nature relève;Consommation (kWh);Index;Consommation (kWh);Index;;;;;;;;;;;;;;
20-10-2025;evt réelle;;;10;8 810;;;;;;;;;;;;;;
21-10-2025;evt réelle;;;6;8 820;;;;;;;;;;;;;;
22-10-2025;estimée;;;12;8 826;;;;;;;;;;;;;;
23-10-2025;evt réelle;;;11;8 838;;;;;;;;;;;;;;
24-10-2025;estimée;;;10;8 849;;;;;;;;;;;;;;
25-10-2025;estimée;;;9;8 859;;;;;;;;;;;;;;
26-10-2025;estimée;;;13;8 868;;;;;;;;;;;;;;
27-10-2025;evt réelle;;;12;8 881;;;;;;;;;;;;;;
28-10-2025;evt réelle;;;11;8 893;;;;;;;;;;;;;;
29-10-2025;evt réelle;;;11;8 904;;;;;;;;;;;;;;
30-10-2025;evt réelle;;;10;8 915;;;;;;;;;;;;;;
31-10-2025;evt réelle;;;7;8 925;;;;;;;;;;;;;;
01-11-2025;evt réelle;;;16;8 932;;;;;;;;;;;;;;
02-11-2025;evt réelle;;;10;8 948;;;;;;;;;;;;;;
03-11-2025;evt réelle;;;12;8 958;;;;;;;;;;;;;;
04-11-2025;evt réelle;;;10;8 970;;;;;;;;;;;;;;
05-11-2025;evt réelle;;;10;8 980;;;;;;;;;;;;;;
06-11-2025;estimée;;;11;8 990;;;;;;;;;;;;;;
07-11-2025;evt réelle;;;11;9 001;;;;;;;;;;;;;;
08-11-2025;evt réelle;;;11;9 012;;;;;;;;;;;;;;
09-11-2025;estimée;;;11;9 023;;;;;;;;;;;;;;
10-11-2025;evt réelle;;;9;9 034;;;;;;;;;;;;;;
11-11-2025;estimée;;;12;9 043;;;;;;;;;;;;;;
12-11-2025;estimée;;;12;9 055;;;;;;;;;;;;;;
13-11-2025;evt réelle;;;7;9 067;;;;;;;;;;;;;;
14-11-2025;evt réelle;;;13;9 074;;;;;;;;;;;;;;
15-11-2025;evt réelle;;;14;9 087;;;;;;;;;;;;;;
16-11-2025;evt réelle;;;11;9 101;;;;;;;;;;;;;;
17-11-2025;evt réelle;;;11;9 112;;;;;;;;;;;;;;
18-11-2025;estimée;;;12;9 123;;;;;;;;;;;;;;
19-11-2025;evt réelle;;;10;9 135;;;;;;;;;;;;;;
20-11-2025;evt réelle;;;11;9 145;;;;;;;;;;;;;;
21-11-2025;evt réelle;;;10;9 156;;;;;;;;;;;;;;
22-11-2025;evt réelle;;;17;9 166;;;;;;;;;;;;;;
23-11-2025;evt réelle;;;13;9 183;;;;;;;;;;;;;;
24-11-2025;evt réelle;;;15;9 196;;;;;;;;;;;;;;
25-11-2025;evt réelle;;;11;9 211;;;;;;;;;;;;;;
26-11-2025;evt réelle;;;15;9 222;;;;;;;;;;;;;;
27-11-2025;evt réelle;;;15;9 237;;;;;;;;;;;;;;
28-11-2025;evt réelle;;;18;9 252;;;;;;;;;;;;;;
29-11-2025;evt réelle;;;13;9 270;;;;;;;;;;;;;;
30-11-2025;evt réelle;;;15;9 283;;;;;;;;;;;;;;
01-12-2025;evt réelle;;;10;9 298;;;;;;;;;;;;;;
02-12-2025;evt réelle;;;13;9 308;;;;;;;;;;;;;;
03-12-2025;evt réelle;;;14;9 321;;;;;;;;;;;;;;
04-12-2025;evt réelle;;;11;9 335;;;;;;;;;;;;;;
05-12-2025;evt réelle;;;15;9 346;;;;;;;;;;;;;;
06-12-2025;evt réelle;;;11;9 361;;;;;;;;;;;;;;
07-12-2025;evt réelle;;;17;9 372;;;;;;;;;;;;;;
08-12-2025;evt réelle;;;11;9 389;;;;;;;;;;;;;;
09-12-2025;evt réelle;;;11;9 400;;;;;;;;;;;;;;
10-12-2025;evt réelle;;;13;9 411;;;;;;;;;;;;;;
11-12-2025;estimée;;;12;9 424;;;;;;;;;;;;;;
12-12-2025;evt réelle;;;17;9 436;;;;;;;;;;;;;;
13-12-2025;evt réelle;;;19;9 453;;;;;;;;;;;;;;
14-12-2025;evt réelle;;;15;9 472;;;;;;;;;;;;;;
15-12-2025;evt réelle;;;13;9 487;;;;;;;;;;;;;;
16-12-2025;evt réelle;;;16;9 500;;;;;;;;;;;;;;
17-12-2025;evt réelle;;;15;9 516;;;;;;;;;;;;;;
18-12-2025;evt réelle;;;13;9 531;;;;;;;;;;;;;;
19-12-2025;estimée;;;14;9 544;;;;;;;;;;;;;;
20-12-2025;estimée;;;13;9 558;;;;;;;;;;;;;;
21-12-2025;estimée;;;16;9 571;;;;;;;;;;;;;;
22-12-2025;evt réelle;;;10;9 587;;;;;;;;;;;;;;
23-12-2025;evt réelle;;;15;9 597;;;;;;;;;;;;;;
24-12-2025;evt réelle;;;13;9 612;;;;;;;;;;;;;;
25-12-2025;estimée;;;12;9 625;;;;;;;;;;;;;;
26-12-2025;evt réelle;;;15;9 637;;;;;;;;;;;;;;
27-12-2025;evt réelle;;;18;9 652;;;;;;;;;;;;;;
28-12-2025;evt réelle;;;16;9 670;;;;;;;;;;;;;;
29-12-2025;estimée;;;12;9 686;;;;;;;;;;;;;;
30-12-2025;evt réelle;;;13;9 698;;;;;;;;;;;;;;
31-12-2025;evt réelle;;;14;9 711;;;;;;;;;;;;;;
01-01-2026;evt réelle;;;15;9 725;;;;;;;;;;;;;;
02-01-2026;evt réelle;;;16;9 740;;;;;;;;;;;;;;
03-01-2026;evt réelle;;;17;9 756;;;;;;;;;;;;;;
04-01-2026;estimée;;;19;9 773;;;;;;;;;;;;;;
05-01-2026;evt réelle;;;13;9 792;;;;;;;;;;;;;;
06-01-2026;estimée;;;14;9 805;;;;;;;;;;;;;;
07-01-2026;evt réelle;;;13;9 819;;;;;;;;;;;;;;
08-01-2026;estimée;;;15;9 832;;;;;;;;;;;;;;
09-01-2026;estimée;;;14;9 847;;;;;;;;;;;;;;
10-01-2026;evt réelle;;;12;9 861;;;;;;;;;;;;;;
11-01-2026;evt réelle;;;17;9 873;;;;;;;;;;;;;;
12-01-2026;estimée;;;14;9 890;;;;;;;;;;;;;;
13-01-2026;evt réelle;;;16;9 904;;;;;;;;;;;;;;
14-01-2026;evt réelle;;;15;9 920;;;;;;;;;;;;;;
15-01-2026;estimée;;;16;9 935;;;;;;;;;;;;;;
16-01-2026;evt réelle;;;17;9 951;;;;;;;;;;;;;;
17-01-2026;estimée;;;18;9 968;;;;;;;;;;;;;;
18-01-2026;evt réelle;;;15;9 986;;;;;;;;;;;;;;
19-01-2026;evt réelle;;;19;10 001;;;;;;;;;;;;;;
20-01-2026;estimée;;;18;10 020;;;;;;;;;;;;;;
21-01-2026;evt réelle;;;17;10 038;;;;;;;;;;;;;;
22-01-2026;evt réelle;;;13;10 055;;;;;;;;;;;;;;
23-01-2026;estimée;;;16;10 068;;;;;;;;;;;;;;
24-01-2026;estimée;;;18;10 084;;;;;;;;;;;;;;
25-01-2026;evt réelle;;;13;10 102;;;;;;;;;;;;;;
26-01-2026;estimée;;;14;10 115;;;;;;;;;;;;;;
27-01-2026;estimée;;;16;10 129;;;;;;;;;;;;;;
28-01-2026;evt réelle;;;14;10 145;;;;;;;;;;;;;;
29-01-2026;estimée;;;13;10 159;;;;;;;;;;;;;;
30-01-2026;estimée;;;14;10 172;;;;;;;;;;;;;;
31-01-2026;estimée;;;15;10 186;;;;;;;;;;;;;;
01-02-2026;estimée;;;19;10 201;;;;;;;;;;;;;;
02-02-2026;estimée;;;13;10 220;;;;;;;;;;;;;;
03-02-2026;evt réelle;;;13;10 233;;;;;;;;;;;;;;
04-02-2026;evt réelle;;;15;10 246;;;;;;;;;;;;;;
05-02-2026;evt réelle;;;14;10 261;;;;;;;;;;;;;;
06-02-2026;estimée;;;15;10 275;;;;;;;;;;;;;;
07-02-2026;evt réelle;;;17;10 290;;;;;;;;;;;;;;
08-02-2026;evt réelle;;;21;10 307;;;;;;;;;;;;;;
09-02-2026;evt réelle;;;12;10 328;;;;;;;;;;;;;;
10-02-2026;evt réelle;;;12;10 340;;;;;;;;;;;;;;
11-02-2026;evt réelle;;;19;10 352;;;;;;;;;;;;;;
12-02-2026;estimée;;;14;10 371;;;;;;;;;;;;;;
13-02-2026;estimée;;;14;10 385;;;;;;;;;;;;;;
14-02-2026;evt réelle;;;15;10 399;;;;;;;;;;;;;;
15-02-2026;evt réelle;;;12;10 414;;;;;;;;;;;;;;
16-02-2026;estimée;;;14;10 426;;;;;;;;;;;;;;
17-02-2026;evt réelle;;;9;10 440;;;;;;;;;;;;;;
18-02-2026;evt réelle;;;14;10 449;;;;;;;;;;;;;;
19-02-2026;evt réelle;;;15;10 463;;;;;;;;;;;;;;
20-02-2026;evt réelle;;;17;10 478;;;;;;;;;;;;;;
21-02-2026;evt réelle;;;18;10 495;;;;;;;;;;;;;;
22-02-2026;evt réelle;;;16;10 513;;;;;;;;;;;;;;
23-02-2026;evt réelle;;;13;10 529;;;;;;;;;;;;;;
24-02-2026;evt réelle;;;16;10 542;;;;;;;;;;;;;;
25-02-2026;estimée;;;12;10 558;;;;;;;;;;;;;;
26-02-2026;evt réelle;;;11;10 570;;;;;;;;;;;;;;
27-02-2026;estimée;;;12;10 581;;;;;;;;;;;;;;
28-02-2026;evt réelle;;;16;10 593;;;;;;;;;;;;;;
01-03-2026;evt réelle;;;16;10 609;;;;;;;;;;;;;;
02-03-2026;evt réelle;;;12;10 625;;;;;;;;;;;;;;
03-03-2026;evt réelle;;;10;10 637;;;;;;;;;;;;;;
04-03-2026;evt réelle;;;13;10 647;;;;;;;;;;;;;;
05-03-2026;estimée;;;12;10 660;;;;;;;;;;;;;;
06-03-2026;evt réelle;;;13;10 672;;;;;;;;;;;;;;
07-03-2026;evt réelle;;;14;10 685;;;;;;;;;;;;;;
08-03-2026;evt réelle;;;12;10 699;;;;;;;;;;;;;;
09-03-2026;estimée;;;15;10 711;;;;;;;;;;;;;;
10-03-2026;estimée;;;9;10 726;;;;;;;;;;;;;;
11-03-2026;estimée;;;12;10 735;;;;;;;;;;;;;;
12-03-2026;evt réelle;;;13;10 747;;;;;;;;;;;;;;
13-03-2026;evt réelle;;;12;10 760;;;;;;;;;;;;;;
14-03-2026;evt réelle;;;14;10 772;;;;;;;;;;;;;;
15-03-2026;evt réelle;;;12;10 786;;;;;;;;;;;;;;
16-03-2026;evt réelle;;;13;10 798;;;;;;;;;;;;;;
17-03-2026;evt réelle;;;15;10 811;;;;;;;;;;;;;;
18-03-2026;estimée;;;13;10 826;;;;;;;;;;;;;;
19-03-2026;evt réelle;;;14;10 839;;;;;;;;;;;;;;
20-03-2026;evt réelle;;;12;10 853;;;;;;;;;;;;;;
21-03-2026;evt réelle;;;12;10 865;;;;;;;;;;;;;;
22-03-2026;evt réelle;;;14;10 877;;;;;;;;;;;;;;
23-03-2026;evt réelle;;;13;10 891;;;;;;;;;;;;;;
24-03-2026;evt réelle;;;13;10 904;;;;;;;;;;;;;;
25-03-2026;estimée;;;11;10 917;;;;;;;;;;;;;;
26-03-2026;estimée;;;11;10 928;;;;;;;;;;;;;;
27-03-2026;estimée;;;14;10 939;;;;;;;;;;;;;;
28-03-2026;evt réelle;;;12;10 953;;;;;;;;;;;;;;
29-03-2026;estimée;;;10;10 965;;;;;;;;;;;;;;
30-03-2026;estimée;;;12;10 975;;;;;;;;;;;;;;
31-03-2026;evt réelle;;;10;10 987;;;;;;;;;;;;;;
01-04-2026;estimée;;;11;10 997;;;;;;;;;;;;;;
02-04-2026;estimée;;;13;11 008;;;;;;;;;;;;;;
03-04-2026;estimée;;;8;11 021;;;;;;;;;;;;;;
04-04-2026;evt réelle;;;12;11 029;;;;;;;;;;;;;;
05-04-2026;evt réelle;;;9;11 041;;;;;;;;;;;;;;
06-04-2026;evt réelle;;;11;11 050;;;;;;;;;;;;;;
07-04-2026;evt réelle;;;13;11 061;;;;;;;;;;;;;;
08-04-2026;estimée;;;14;11 074;;;;;;;;;;;;;;
09-04-2026;evt réelle;;;8;11 088;;;;;;;;;;;;;;
10-04-2026;evt réelle;;;10;11 096;;;;;;;;;;;;;;
11-04-2026;estimée;;;17;11 106;;;;;;;;;;;;;;
12-04-2026;evt réelle;;;12;11 123;;;;;;;;;;;;;;
13-04-2026;evt réelle;;;14;11 135;;;;;;;;;;;;;;
14-04-2026;evt réelle;;;12;11 149;;;;;;;;;;;;;;
15-04-2026;evt réelle;;;9;11 161;;;;;;;;;;;;;;
16-04-2026;estimée;;;9;11 170;;;;;;;;;;;;;;
17-04-2026;evt réelle;;;9;11 179;;;;;;;;;;;;;;
18-04-2026;evt réelle;;;6;11 188;;;;;;;;;;;;;;
19-04-2026;evt réelle;;;13;11 194;;;;;;;;;;;;;;
20-04-2026;evt réelle;;;8;11 207;;;;;;;;;;;;;;
21-04-2026;estimée;;;13;11 215;;;;;;;;;;;;;;
22-04-2026;estimée;;;11;11 228;;;;;;;;;;;;;;
23-04-2026;evt réelle;;;9;11 239;;;;;;;;;;;;;;
24-04-2026;estimée;;;6;11 248;;;;;;;;;;;;;;
25-04-2026;evt réelle;;;13;11 254;;;;;;;;;;;;;;
26-04-2026;evt réelle;;;11;11 267;;;;;;;;;;;;;;
27-04-2026;evt réelle;;;7;11 278;;;;;;;;;;;;;;
28-04-2026;evt réelle;;;15;11 285;;;;;;;;;;;;;;
29-04-2026;evt réelle;;;12;11 300;;;;;;;;;;;;;;
30-04-2026;evt réelle;;;6;11 312;;;;;;;;;;;;;;
01-05-2026;evt réelle;;;7;11 318;;;;;;;;;;;;;;
02-05-2026;estimée;;;10;11 325;;;;;;;;;;;;;;
03-05-2026;estimée;;;13;11 335;;;;;;;;;;;;;;
04-05-2026;evt réelle;;;9;11 348;;;;;;;;;;;;;;
05-05-2026;evt réelle;;;12;11 357;;;;;;;;;;;;;;
06-05-2026;estimée;;;9;11 369;;;;;;;;;;;;;;
07-05-2026;evt réelle;;;7;11 378;;;;;;;;;;;;;;
08-05-2026;evt réelle;;;13;11 385;;;;;;;;;;;;;;
09-05-2026;evt réelle;;;10;11 398;;;;;;;;;;;;;;
10-05-2026;evt réelle;;;10;11 408;;;;;;;;;;;;;;
11-05-2026;evt réelle;;;5;11 418;;;;;;;;;;;;;;
12-05-2026;evt réelle;;;9;11 423;;;;;;;;;;;;;;
13-05-2026;estimée;;;7;11 432;;;;;;;;;;;;;;
14-05-2026;estimée;;;9;11 439;;;;;;;;;;;;;;
15-05-2026;evt réelle;;;7;11 448;;;;;;;;;;;;;;
16-05-2026;evt réelle;;;8;11 455;;;;;;;;;;;;;;
17-05-2026;estimée;;;8;11 463;;;;;;;;;;;;;;
18-05-2026;evt réelle;;;6;11 471;;;;;;;;;;;;;;
19-05-2026;evt réelle;;;10;11 477;;;;;;;;;;;;;;
20-05-2026;evt réelle;;;2;11 487;;;;;;;;;;;;;;
21-05-2026;estimée;;;3;11 489;;;;;;;;;;;;;;
22-05-2026;evt réelle;;;11;11 492;;;;;;;;;;;;;;
23-05-2026;evt réelle;;;3;11 503;;;;;;;;;;;;;;
24-05-2026;evt réelle;;;9;11 506;;;;;;;;;;;;;;
25-05-2026;evt réelle;;;6;11 515;;;;;;;;;;;;;;
26-05-2026;estimée;;;6;11 521;;;;;;;;;;;;;;
27-05-2026;estimée;;;6;11 527;;;;;;;;;;;;;;
28-05-2026;evt réelle;;;2;11 533;;;;;;;;;;;;;;
29-05-2026;evt réelle;;;7;11 535;;;;;;;;;;;;;;
30-05-2026;estimée;;;8;11 542;;;;;;;;;;;;;;
31-05-2026;estimée;;;4;11 550;;;;;;;;;;;;;;
01-06-2026;evt réelle;;;4;11 554;;;;;;;;;;;;;;
02-06-2026;estimée;;;4;11 558;;;;;;;;;;;;;;
03-06-2026;evt réelle;;;3;11 562;;;;;;;;;;;;;;
04-06-2026;evt réelle;;;6;11 565;;;;;;;;;;;;;;
05-06-2026;evt réelle;;;10;11 571;;;;;;;;;;;;;;
06-06-2026;evt réelle;;;7;11 581;;;;;;;;;;;;;;
07-06-2026;estimée;;;7;11 588;;;;;;;;;;;;;;
08-06-2026;estimée;;;6;11 595;;;;;;;;;;;;;;
09-06-2026;evt réelle;;;7;11 601;;;;;;;;;;;;;;
10-06-2026;evt réelle;;;7;11 608;;;;;;;;;;;;;;
11-06-2026;estimée;;;9;11 615;;;;;;;;;;;;;;
12-06-2026;evt réelle;;;3;11 624;;;;;;;;;;;;;;
13-06-2026;estimée;;;5;11 627;;;;;;;;;;;;;;
14-06-2026;evt réelle;;;8;11 632;;;;;;;;;;;;;;
15-06-2026;estimée;;;4;11 640;;;;;;;;;;;;;;
16-06-2026;evt réelle;;;5;11 644;;;;;;;;;;;;;;
17-06-2026;evt réelle;;;6;11 649;;;;;;;;;;;;;;
18-06-2026;estimée;;;5;11 655;;;;;;;;;;;;;;
19-06-2026;estimée;;;6;11 660;;;;;;;;;;;;;;
20-06-2026;evt réelle;;;4;11 666;;;;;;;;;;;;;;
21-06-2026;estimée;;;5;11 670;;;;;;;;;;;;;;
22-06-2026;evt réelle;;;12;11 675;;;;;;;;;;;;;;
23-06-2026;estimée;;;3;11 687;;;;;;;;;;;;;;
24-06-2026;evt réelle;;;7;11 690;;;;;;;;;;;;;;
25-06-2026;evt réelle;;;6;11 697;;;;;;;;;;;;;;
26-06-2026;evt réelle;;;1;11 703;;;;;;;;;;;;;;
27-06-2026;evt réelle;;;10;11 704;;;;;;;;;;;;;;
28-06-2026;evt réelle;;;3;11 714;;;;;;;;;;;;;;
29-06-2026;estimée;;;6;11 717;;;;;;;;;;;;;;
30-06-2026;evt réelle;;;3;11 723;;;;;;;;;;;;;;
01-07-2026;evt réelle;;;3;11 726;;;;;;;;;;;;;;
02-07-2026;estimée;;;2;11 729;;;;;;;;;;;;;;
03-07-2026;evt réelle;;;5;11 731;;;;;;;;;;;;;;
04-07-2026;estimée;;;6;11 736;;;;;;;;;;;;;;
05-07-2026;evt réelle;;;8;11 742;;;;;;;;;;;;;;
06-07-2026;evt réelle;;;5;11 750;;;;;;;;;;;;;;
07-07-2026;evt réelle;;;6;11 755;;;;;;;;;;;;;;
08-07-2026;estimée;;;2;11 761;;;;;;;;;;;;;;
09-07-2026;evt réelle;;;3;11 763;;;;;;;;;;;;;;
10-07-2026;estimée;;;5;11 766;;;;;;;;;;;;;;
11-07-2026;estimée;;;5;11 771;;;;;;;;;;;;;;
12-07-2026;estimée;;;7;11 776;;;;;;;;;;;;;;
13-07-2026;evt réelle;;;1;11 783;;;;;;;;;;;;;;
14-07-2026;estimée;;;4;11 784;;;;;;;;;;;;;;
15-07-2026;estimée;;;4;11 788;;;;;;;;;;;;;;
16-07-2026;estimée;;;2;11 792;;;;;;;;;;;;;;
17-07-2026;evt réelle;;;;11 794;;;;;;;;;;;;;;
